293.536, 129.959, 7.314,  6.620 False
293.390, 129.970, 7.334,  6.640 False
293.243, 129.981, 7.354,  6.660 False
293.097, 129.993, 7.374,  6.680 False
292.949, 130.004, 7.395,  6.700 False
292.801, 130.016, 7.415,  6.720 False
292.653, 130.028, 7.435,  6.740 False
292.505, 130.040, 7.455,  6.760 False
292.356, 130.052, 7.475,  6.780 False
292.207, 130.064, 7.495,  6.800 False
292.057, 130.077, 7.516,  6.820 False
291.907, 130.089, 7.535,  6.840 False
291.756, 130.102, 7.556,  6.860 False
291.605, 130.115, 7.576,  6.880 False
291.454, 130.127, 7.597,  6.900 False
291.302, 130.140, 7.617,  6.920 False
291.150, 130.153, 7.637,  6.940 False
290.998, 130.166, 7.657,  6.960 False
290.845, 130.179, 7.678,  6.980 False
290.692, 130.192, 7.698,  7.000 False
290.538, 130.205, 7.718,  7.020 False
290.384, 130.218, 7.738,  7.040 False
290.229, 130.231, 7.759,  7.060 False
290.074, 130.244, 7.779,  7.080 False
289.919, 130.257, 7.799,  7.100 False
289.763, 130.270, 7.819,  7.120 False
289.607, 130.283, 7.840,  7.140 False
289.450, 130.296, 7.859,  7.160 False
289.294, 130.309, 7.880,  7.180 False
289.136, 130.322, 7.900,  7.200 False
288.978, 130.335, 7.920,  7.220 False
288.820, 130.348, 7.940,  7.240 False
288.662, 130.361, 7.961,  7.260 False
288.503, 130.373, 7.980,  7.280 False
288.343, 130.386, 8.001,  7.300 False
288.183, 130.398, 8.021,  7.320 False
288.023, 130.411, 8.041,  7.340 False
287.862, 130.423, 8.061,  7.360 False
287.701, 130.436, 8.081,  7.380 False
287.540, 130.449, 8.101,  7.400 False
287.378, 130.461, 8.121,  7.420 False
287.216, 130.473, 8.141,  7.440 False
287.053, 130.486, 8.162,  7.460 False
286.890, 130.498, 8.181,  7.480 False
286.727, 130.511, 8.201,  7.500 False
286.563, 130.523, 8.221,  7.520 False
286.399, 130.536, 8.239,  7.540 False
286.234, 130.548, 8.257,  7.560 False
286.069, 130.561, 8.274,  7.580 False
285.904, 130.573, 8.291,  7.600 False
285.738, 130.586, 8.306,  7.620 False
285.573, 130.598, 8.320,  7.640 False
285.406, 130.610, 8.334,  7.660 False
285.240, 130.623, 8.346,  7.680 False
285.073, 130.635, 8.358,  7.700 False
284.907, 130.647, 8.368,  7.720 False
